rule,value,n_node_samples,path_len
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 <= 0.187210 AND f4 <= 0.726542 AND f1 > 0.324959 AND f3 <= -0.512897 AND f9 <= 0.757444 AND f10 > -0.957989 AND f1 <= 0.957274 AND f3 <= -0.705348 AND f14 > -0.276769,84.0,58,16
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 <= 0.402842 AND f13 > 0.392633 AND f14 <= -0.170322 AND f4 > -0.729958 AND f1 <= -0.070942 AND f3 <= 0.253991 AND f13 > 0.393244 AND f3 <= 0.181093 AND f6 <= 0.468412 AND f13 <= 0.395754 AND f5 <= 0.460498 AND f7 > 0.193142,47.63636363636363,13,20
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 > 0.289661 AND f13 > -1.208139 AND f14 > -0.166710 AND f1 <= 1.871036 AND f13 > 0.391457 AND f14 <= -0.149109 AND f8 > -0.439802 AND f4 <= 1.547298 AND f0 <= 1.850318 AND f9 > -1.227614 AND f13 <= 0.415356 AND f1 > 0.720860 AND f6 > -0.023885 AND f8 > -0.294589 AND f10 <= 1.522678 AND f13 <= 0.412324 AND f1 > 0.929130 AND f7 <= 0.212418,61.0,11,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 <= 0.402842 AND f13 > 0.392633 AND f14 <= -0.170322 AND f4 > -0.729958 AND f1 <= -0.070942 AND f3 <= 0.253991 AND f13 > 0.393244 AND f3 <= 0.181093 AND f6 <= 0.468412 AND f13 > 0.395754 AND f14 > -0.225287 AND f2 > 0.150619,44.5,11,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 <= -0.427441 AND f13 <= 0.398653 AND f0 <= -0.420358 AND f13 > -0.226708 AND f3 > -0.262128 AND f6 <= 0.337002 AND f13 <= 0.395210 AND f1 > -0.825218 AND f8 <= 1.447969 AND f7 <= 0.215359 AND f5 > 0.309296 AND f1 > -0.740784 AND f1 > -0.568164 AND f13 <= 0.393931 AND f13 > 0.390270,34.0,10,20
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 <= 0.289661 AND f14 <= -0.169958 AND f13 > -1.388880 AND f13 <= 0.402215 AND f1 <= 0.289309 AND f13 <= 0.397660 AND f2 > -0.626158 AND f0 > -0.443410 AND f1 > -0.928415 AND f14 > -0.196855 AND f11 <= 0.957248 AND f6 > -0.300434 AND f0 > -0.111454 AND f7 <= 0.207483 AND f10 > -1.249832 AND f14 > -0.194751 AND f4 > -0.280467 AND f14 <= -0.176725,56.46875,8,20
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 <= 0.289661 AND f14 <= -0.169958 AND f13 > -1.388880 AND f13 <= 0.402215 AND f1 <= 0.289309 AND f13 <= 0.397660 AND f2 > -0.626158 AND f0 > -0.443410 AND f1 > -0.928415 AND f14 > -0.196855 AND f11 <= 0.957248 AND f6 > -0.300434 AND f0 <= -0.111454 AND f8 <= 0.939723 AND f5 > 0.068537 AND f9 > -1.227614 AND f4 <= 0.568848 AND f7 > 0.200943,50.90909090909091,7,20
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 > 0.289661 AND f13 > -1.208139 AND f14 <= -0.166710 AND f4 <= 2.030314 AND f8 > -0.439802 AND f1 > 0.880346 AND f13 > 0.401399 AND f1 <= 1.537053 AND f13 <= 0.406779 AND f1 > 1.150534 AND f2 > -0.785045 AND f0 <= 1.877981 AND f13 <= 0.405119 AND f1 <= 1.520167 AND f1 <= 1.507032 AND f7 <= 0.207179 AND f2 <= -0.465310 AND f2 > -0.688928,73.16666666666667,7,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 <= 0.497579 AND f13 > 0.397420 AND f14 <= -0.182876 AND f4 <= -0.137673 AND f9 > -1.227614 AND f6 <= 0.396823 AND f2 > -0.055344 AND f0 > -0.547147 AND f11 > -0.894771 AND f7 > 0.192662 AND f4 > -0.700158 AND f2 > -0.039652 AND f7 <= 0.198064,47.45454545454545,7,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 > 0.497579 AND f11 <= 0.957248 AND f7 <= 0.209541 AND f5 <= 0.624493 AND f8 > -0.585016 AND f4 > -0.160023 AND f1 <= 0.906614 AND f3 <= 1.034001 AND f1 <= 0.666447 AND f4 <= 0.591198 AND f8 <= 0.939723 AND f2 <= 0.743011 AND f1 > 0.578260,61.09090909090909,7,20
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 > 0.289661 AND f13 > -1.208139 AND f14 <= -0.166710 AND f4 <= 2.030314 AND f8 > -0.439802 AND f1 <= 0.880346 AND f2 > -0.930200 AND f13 <= 0.398532 AND f4 > 0.104456 AND f2 <= -0.384886 AND f7 <= 0.215798 AND f7 > 0.201921 AND f8 <= 0.939723 AND f1 > 0.580136 AND f13 > 0.393934 AND f5 <= 0.681484 AND f2 > -0.755621 AND f2 > -0.700698,73.29166666666667,6,20
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 > 0.289661 AND f13 > -1.208139 AND f14 > -0.166710 AND f1 <= 1.871036 AND f13 > 0.391457 AND f14 > -0.149109 AND f13 <= 0.418185 AND f4 > 0.624724 AND f13 > 0.404428 AND f2 > -1.244050 AND f0 > 0.965100 AND f13 <= 0.412256 AND f0 <= 1.654371 AND f14 <= -0.123758 AND f1 <= 1.193689 AND f13 > 0.405695 AND f0 > 1.055005 AND f0 <= 1.573687,50.36363636363637,6,20
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 <= -0.288834 AND f13 <= -2.257548 AND f13 <= -3.849184 AND f13 > -5.871584 AND f13 <= -4.694530 AND f13 > -5.199214 AND f13 <= -4.952860,16.5,5,10
